Ticker,Company,GICS Sector,Sector,Industry,Currency,As Of,Price,Market Cap,Shares Out,Cash,Total Debt,Net Debt (Debt - Cash),Total Assets,Total Liabilities,NTA,NTA / Share,"Book Value (Total, Yahoo)",Book Value / Share (Yahoo),"Book Value (Total, Assets-Liab)",Book Value / Share (Assets-Liab),DCF Price (5yr),Residual Income Price,Asset Based Price,SOTP Price,Dividend Discount Price,Earnings Power Value (EPV) Price,Option Pricing Value,DCF Estimate,DCF Premium/(Discount),Residual Income Premium/(Discount),Asset Based Premium/(Discount),SOTP Premium/(Discount),Dividend Discount Premium/(Discount),EPV Premium/(Discount),Option Pricing Premium/(Discount),Undervalued Methods Count,Margin of Safety,MOS Buy Price,FCF (Yahoo),Revenue Growth (Yahoo),Growth Input Used,Beta,Risk Free Rate,Market Risk Premium,Cost of Equity,WACC,Terminal Growth Rate,Valuation Period (yrs),Tax Rate,FCF Yield,Trailing PE,Forward PE,P/B,EV/EBITDA,Net Debt/EBITDA,ROA,ROE,Gross Margin,Operating Margin,Profit Margin,Debt/Equity,Current Ratio,Quick Ratio,Held % Insiders,Held % Institutions,Short % Float,Dividend Rate (Yahoo),Dividend Yield (Yahoo),Payout Ratio (Yahoo),5Y Avg Dividend Yield (Yahoo),Ex-Dividend Date (Yahoo),Last Dividend Value (Yahoo),Last Dividend Date (Yahoo),"Dividend Yield (Latest, Calc)",Dividend Yield Δ% (Yahoo→Calc),Reverse DCF Implied Growth,PEG Ratio,Enterprise Value (Yahoo/Calc),Return 1m,Return 3m,Return 6m,Return 12m,SMA20,SMA50,SMA200,% from SMA20,% from SMA50,% from SMA200,% Dist SMA200D,SMA200W,% Dist SMA200W,"MACD (12,26)",MACD Signal (9),"MACD Hist (12,26,9)",ADX14,Stoch %K (14),Stoch %D (3),"BB %B (20,2)","BB Width (20,2)",Support D1,Support D2,Resistance D1,Resistance D2,Support D1 %,Support D2 %,Resistance D1 %,Resistance D2 %,R:R (D),Support W1,Support W2,Resistance W1,Resistance W2,Support W1 %,Support W2 %,Resistance W1 %,Resistance W2 %,R:R (W),Support M1,Support M2,Resistance M1,Resistance M2,Support M1 %,Support M2 %,Resistance M1 %,Resistance M2 %,R:R (M),52W High,52W Low,% From 52W High,% From 52W Low,RSI14,ATR (14),ATR% (14),"Vol (20d, ann)","Vol (60d, ann)",Max Drawdown (1y),Avg Vol 20d,Avg $Vol 20d,Beta vs Benchmark (1y),Data Quality Score,_v_dcf,_v_fcf,_v_mos,_v_pb,_q_roe,_q_pm,_q_nd,_r_vol,_r_atr,_r_mdd,_liq,Liquidity Bonus,Value Score,Quality Score,Risk Score,Screener Score
10X,EXULTANT MINING LIMITED,Materials,Materials,Materials,AUD,2026-06-08,0.18000000715255737,6732000.0,37400001.0,4291999.0,0.0,-4291999.0,,33008.0,,,5310800.141999999,0.142,,,,,,,,,0.06113124723726342,,,,,,,,-0.6603819732881889,0,0.25,,,,0.05,,0.04,0.06,,,0.02,5,0.3,,,,1.2676057,,,,,0.0,0.0,0.0,,1.129,1.129,0.49573,0.0,,,,0.0,,,,,,,,,2404001.0,-0.027027000903735332,-0.09999997764825852,,,0.1899999998509884,0.18730000019073487,,-0.05263154055933539,-0.038974869357947806,,,,,-0.002559280898067673,-0.0006374749955158385,-0.0019218059025518344,18.682582304536805,20.00003576277834,6.666678587592784,0.2160192514598236,0.1853348891778463,0.17499999701976776,0.17000000178813934,0.1850000023841858,0.1899999976158142,0.02777783296726149,0.05555558315029741,0.027777750183035924,0.05555550036607185,0.9999970197738008,,,,,,,,,,,,,,,,,,,0.23999999463558197,0.1599999964237213,-0.24999995343387027,0.12500006984919465,44.773349938167684,0.006320115488370176,0.035111751317952,0.5155479696014503,0.758568741016466,0.0,110763.25,21045.01748349499,0.6597348786568255,0.6153846153846154,,,,0.5950809838032394,,0.4609289617486339,,0.48659340659340655,0.5494071146245059,0.5002192982456141,0.3252747252747253,3.25,,,50.64,
14D,1414 DEGREES LIMITED,Industrials,Industrials,Capital Goods,AUD,2026-06-08,0.09000000357627869,54647996.0,607199940.0,933456.0,817575.0,-115881.0,,1895728.0,,,6679199.34,0.011,,,-0.012204285860412547,0.0007254321340016776,,-0.009763428688330038,,,0.03056562361863171,Overvalued,-1.1356031708384202,-0.9919396432758266,,-1.108482536670736,,,-0.6603819732881889,0,0.25,-0.00915321439530941,-660964.0,,0.05,1.353,0.04,0.06,0.12118000000000001,0.12118000000000001,0.02,5,0.3,-0.012094935741102016,,,8.181819,-5.946,0.020646838413335877,-0.46640998,-0.92606,0.0,0.0,0.0,19.756,3.603,1.206,0.12532,0.077199996,,,,0.0,,,,,,,,,33369700.0,1.1428572568966433,3.5000002793967786,2.600000089406966,4.2941175697171605,0.08614999987185001,0.05063999969512224,0.03356749995611608,0.04468953813297305,0.7772512661556688,1.681164927204549,1.681164927204549,,,0.01795082725016016,0.019379375015322494,-0.001428547765162335,62.85216274010854,30.555556992781664,35.83355905962398,0.5327995162671145,1.3625060128639706,0.0820000022649765,0.0729999989271164,0.10999999940395355,0.16500000655651093,0.08888889992678563,0.18888893304047585,0.2222221670327385,0.8333333333333334,2.499999068677578,,,,,,,,,,,,,,,,,,,0.16500000655651093,0.013000000268220901,-0.4545454545454546,5.923077055335748,53.25222929340745,0.01964700930884298,0.21830009475712225,2.492790597176612,3.268061696885249,0.0,44304045.35,3816793.5012249374,0.9486731110729327,0.9230769230769231,0.5846059865607819,0.5818074424099232,0.5846059865607819,0.09748050389922014,0.13523347483323225,0.4609289617486339,0.6945153061224489,0.014065934065934038,0.0030742204655248573,0.5002192982456141,0.8725274725274725,8.73,53.51,31.68,15.72,46.24
1AD,ADALTA LIMITED,Health Care,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",AUD,2026-06-08,0.004000000189989805,10198677.0,2549669043.0,1583394.0,0.0,-1583394.0,2141563.0,,,,-0.0,-0.0,,,-0.006123705072107574,,,-0.0048989640576860595,,-0.022650797734132547,0.001358472171371207,Overvalued,-2.530926195311801,,,-2.224740956249441,,-6.662699164569359,-0.6603819732881889,0,0.25,-0.004592778804080681,-944428.0,-0.184,-0.1,0.188,0.04,0.06,0.05128,0.05128,0.02,5,0.3,-0.09260299154488372,,,,-1.826,0.3804537253442394,-1.22709,,0.63924,-7.1483803,0.0,,0.894,0.894,0.33881,0.0434,,,,0.0,,,,,,,,,7597682.0,-0.19999994412064426,-0.11111103062644068,0.3333333850734759,0.6000001117587115,0.004450000007636845,0.004310000063851476,0.003937500058673322,-0.10112355435388198,-0.07192572372833106,0.01587304898670694,0.01587304898670694,,,-0.00011476229871972173,-5.14343912852206e-05,-6.332790743450113e-05,19.993833313658037,0.0,0.0,0.24685524550285076,0.3994692860800351,0.0035000001080334187,0.003000000026077032,0.0044999998062849045,0.004999999888241291,0.12500001455191453,0.25000002910382907,0.12499989813659824,0.24999991268851277,0.9999990686775782,,,,,,,,,,,,,,,,,,,0.00800000037997961,0.0020000000949949026,-0.5,1.0,43.92071862725187,0.00037099221487314895,0.09274804931299128,1.2431797917870822,1.185855560963549,0.0,3462469.35,15407.988633942343,1.906093909243799,0.9230769230769231,0.33781307269395233,0.3047844063792085,0.33781307269395233,,,0.4609289617486339,0.5880102040816326,0.09868131868131869,0.08651734738691264,0.5002192982456141,0.28087912087912087,2.81,,,21.61,
1AE,AURORA ENERGY METALS LIMITED,Materials,Materials,Materials,AUD,2026-06-08,0.05000000074505806,8953187.0,179063737.0,1460841.0,0.0,-1460841.0,,,,,2327828.581,0.013,,,-0.08770723862656525,0.007826980143610784,,-0.0701657909012522,,0.000863892473761942,0.016980901588625707,Overvalued,-2.7541447463925115,-0.8434603994604061,,-2.403315797114009,,-0.9827221507822211,-0.6603819732881887,0,0.25,-0.06578042896992393,-482659.0,1.015,0.25,0.864,0.04,0.06,0.09184,0.09184,0.02,5,0.3,-0.0539091834002797,,,3.8461537,-11.705,2.2823108686380107,-0.20158,-0.34263,1.0,-14.560861,69.87255,,26.757,18.905,0.3236,0.08104999,,,,0.0,,,,,,,,,7492346.0,-0.2537313507524197,-0.2753622898895727,-0.4791666634329077,-0.23076919109158112,0.0626500004902482,0.06571000032126903,0.08594749994575977,-0.20191539738549846,-0.2390808019997217,-0.4182495037480748,-0.4182495037480748,,,-0.004669778841803772,-0.0033697015324870173,-0.0013000773093167547,17.1059515742531,0.0,5.797101918751129,0.051531186548134746,0.45023286197172846,0.04899999871850014,0.04699999839067459,0.052000001072883606,0.05299999937415123,0.020000040233134623,0.06000004619359901,0.04000000596046439,0.059999971687794154,1.999996274717251,,,,,,,,,,,,,,,,,,,0.1550000011920929,0.04600000008940697,-0.677419352512826,0.08695653582340368,32.42814426208368,0.004066239494218339,0.081324788672533,0.6606743079981722,1.1147689942410286,0.0,233335.85,14618.491116892481,1.2763650965131812,1.0,0.3182651191203421,0.4111045481393975,0.3182651191203421,0.23515296940611874,0.296543359611886,0.9972677595628415,0.27487244897959184,0.3604395604395605,0.13877909530083443,0.5002192982456141,0.2742857142857143,2.74,33.78,50.35,34.7,41.72
1AI,ALGORAE PHARMACEUTICALS LIMITED,Health Care,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",AUD,2026-06-08,0.012000000104308128,24276842.0,2023070155.0,1883174.0,0.0,-1883174.0,,,,,2023070.155,0.001,,,-0.024981531319469716,0.0005082776339682417,,-0.019985225055575775,,,0.004075416355966654,Overvalued,-3.0817942585268043,-0.9576435308708234,,-2.6654354068214436,,,-0.6603819732881889,0,0.25,-0.018736148489602287,-683900.0,,0.05,-0.078,0.04,0.06,0.035320000000000004,0.035320000000000004,0.02,5,0.3,-0.028170879886271864,,,12.0,,,-0.39620999,-0.47377,0.0,0.0,0.0,,17.988,17.18,0.33244,0.0,,,,0.0,,,,,,,,,18381954.0,-0.07692308794464564,-0.14285716186372543,-0.19999997516473078,1.4000000745058077,0.012500000186264515,0.013220000229775906,0.013270000049378722,-0.04000000596046438,-0.0922844254359334,-0.09570459233947426,-0.09570459233947426,,,-0.0004782952220021633,-0.0004712492026067224,-7.046019395440901e-06,22.089481568693216,40.0,40.0,0.3623795293592349,0.29065447730430755,0.010999999940395355,0.009999999776482582,0.013000000268220901,0.014000000432133675,0.08333334626836898,0.16666669253673796,0.08333334626836898,0.16666669253673796,1.0,,,,,,,,,,,,,,,,,,,0.024000000208616257,0.004999999888241291,-0.5,1.4000000745058077,44.146951770506085,0.0006279754794133112,0.052331289496227694,0.6297199043397592,0.9123224302328797,0.0,708417.6,8855.22013195306,0.24306544852736814,0.9230769230769231,0.28772144166157604,0.5044300059066745,0.28772144166157604,0.052789442111577656,0.23832625833838691,0.4609289617486339,,0.385934065934066,0.36539306104523495,0.5002192982456141,0.20351648351648352,2.04,32.92,,41.51,
1CG,ONE CLICK GROUP LIMITED,Industrials,Industrials,Capital Goods,AUD,2026-06-08,0.008999999612569809,11765575.0,1307286148.0,1518515.0,0.0,-1518515.0,4529948.0,,,,3921858.444,0.003,,,-0.3769302296473015,0.002342711099574706,,-0.3015441837178412,,0.2650333496434995,0.003056562108828023,Overvalued,-42.88113843036877,-0.7396987555085259,,-34.50491074429502,,28.44815122806693,-0.6603819732881888,0,0.25,-0.28269767223547615,-1549891.0,0.25,0.25,-0.639,0.04,0.06,0.0016600000000000018,0.0016600000000000018,0.02,5,0.3,-0.13173100337212587,,,2.9999998,-21.353,3.1643112559597237,-0.076,-0.2178,0.71876,0.13356,-0.11698,,3.688,3.589,0.37939999,0.08992,,,,0.0,,,,,,,,,10247060.0,0.0,0.0,-0.10000001862645191,0.12499989813659829,0.009349999669939279,0.00915999973192811,0.009827499794773757,-0.03743316253739959,-0.017467262449867182,-0.08420251330292683,-0.08420251330292683,,,0.0001794017221127108,0.00015945083932922353,1.9950882783487285e-05,29.15891094766778,0.0,66.66666666666667,0.31655015357366456,0.2040512067282159,0.00800000037997961,0.007000000216066837,0.009999999776482582,0.010999999940395355,0.1111110306264407,0.22222216473317194,0.11111113410673122,0.22222226821346244,1.0000009313232894,,,,,,,,,,,,,,,,,,,0.014000000432133675,0.007000000216066837,-0.35714290465931353,0.28571419068137294,41.54514893349449,0.00021690065007541322,0.02410007326805658,0.530544898234839,0.7965945838293481,0.0,1250292.65,11690.235864827506,0.7105829862472939,1.0,0.029932803909590716,0.23154164205552275,0.029932803909590716,0.30143971205758846,0.37780473013947846,0.16939890710382513,0.20280612244897955,0.4745054945054945,0.6592007026789635,0.5002192982456141,0.2408791208791209,2.41,11.76,28.9,52.84,29.58
1GOV,VanEck 1-5 Year Australian Government Bond ETF,Unknown,,Spotlight ETP List,AUD,2026-06-08,51.06999969482422,,,,,,,,,,,,,,,,,,,,17.344292520529,,,,,,,,-0.6603819732881889,0,0.25,,,,0.05,,0.04,0.06,,,0.02,5,0.3,,,,,,,,,,,,,,,,,,,,,,,0.115,2026-06-01,,,,,,0.004212568486117174,0.0064008799518529,0.006686103541701627,0.00817523190894831,50.96223678588867,50.77008140563965,50.85747449874878,0.0021145639542530237,0.005907382475680789,0.004178838964578713,0.004178838964578713,,,0.1069824910512267,0.10696682402952218,1.5667021704524053e-05,17.239000711462882,58.18576722308146,60.81850058774389,0.6518146557621752,0.013928589065640672,50.75986452797817,,51.129869364379125,51.488134380454,0.006072746596814185,,0.0011723060488088113,0.008187481655147872,0.19304379494837032,,,,,,,,,,,,,,,,,,,51.537245924302034,50.129370190816395,-0.009066185456710452,0.018764039931627563,56.49329561479032,0.10373900807276344,0.0020313101369232446,0.0272966060461414,0.028920336123531898,0.0,914.9,46625.35043540954,0.05354470416235772,0.23076923076923078,,,,,,,,0.9564835164835165,0.9609134826526131,0.5002192982456141,0.43736263736263736,4.37,,,82.07,
1MC,MORELLA CORPORATION LIMITED,Materials,Materials,Materials,AUD,2026-06-08,0.026000000536441803,10602904.0,407803985.0,2259000.0,5222000.0,2963000.0,,4636029.0,,,8563883.685,0.021,,,-0.356666828308486,0.00026956331711766937,,-0.2853334626467888,,-0.12031801462948821,0.008830068876692397,Overvalued,-14.717954651907757,-0.9896321803247716,,-11.974363721526206,,-5.627615851809293,-0.6603819732881889,0,0.25,-0.2675001212313645,-3344554.0,0.088,0.088,0.208,0.04,0.06,0.05248,0.05248,0.02,5,0.3,-0.31543754428032167,,,1.2380953,-4.963,-1.1258022243237873,-0.10697,-0.98649,0.20499,-5.22903,0.0,62.509,1.812,1.649,0.53361,0.0,,,,0.0,,2002-11-25,,,,,,,13063154.0,-0.16129029156886276,-0.16129029156886276,-0.27777773178653753,0.44444453642692494,0.028250000346451996,0.02866000048816204,0.033547500176355244,-0.0796460099970504,-0.09281227866060038,-0.22497949475332368,-0.22497949475332368,,,-0.0009796624601756641,-0.0007184641012391241,-0.00026119835893654,19.433417868148414,20.000007450582153,6.666669150194042,0.22177658333720748,0.2862663788417981,0.02500000037252903,0.02199999988079071,0.027000000700354576,0.02800000086426735,0.03846154397232281,0.15384617588929125,0.03846154397232281,0.07692308794464563,1.0,,,,,,,,,,,,,,,,,,,0.10999999940395355,0.014000000432133675,-0.7636363574788589,0.8571428381362747,42.750443854910934,0.0019404024042594928,0.07463086016247614,0.9763598319689591,1.000013422645401,0.0,421826.25,11916.591708642547,-0.26921818725627045,1.0,0.0885766646304215,0.09982279976373302,0.0885766646304215,0.6040791841631674,0.12674348089751364,0.4609289617486339,0.8418367346938775,0.1696703296703297,0.18050065876152832,0.5002192982456141,0.24351648351648353,2.44,14.35,33.43,27.15,25.71
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Information Technology,Information Technology,Software & Services,AUD,2026-06-08,0.004000000189989805,7012306.0,1753076443.0,100936.0,33666.0,-67270.0,,1183218.0,,,1753076.443,0.001,,,-0.20990761208042838,-0.002188411842309483,,-0.16792608966434272,,-0.041084017351722985,0.001358472171371207,Overvalued,-53.476900527588064,-1.5471029345913758,,-42.98152042207046,,-11.271003850084242,-0.6603819732881889,0,0.25,-0.15743070906032128,-1443387.0,1.456,0.25,-0.152,0.04,0.06,0.03088,0.03088,0.02,5,0.3,-0.20583628267220513,,,4.0,-0.96,0.027231091453882018,-1.08381,-3.25599,-1.04915,-16.49856,0.0,9.278,0.325,0.313,0.063990004,0.0063099996,,,,0.0,,,,,,,,,2370575.0,3.0,3.0,1.0,-0.7999999860301611,0.0024750000739004463,0.0016100000590085982,0.0020346350461477414,0.6161616446685811,1.4844720766363917,0.9659546303221165,0.9659546303221165,,,0.000897852620919373,0.0006834020475917529,0.00021445057332762012,72.83079804172638,75.00000654836211,83.33333769890807,0.7454892511877085,2.509933293158507,0.003333000000566244,0.003000000026077032,0.004999999888241291,0.006000000052154064,0.1667500394356884,0.25000002910382907,0.24999991268851277,0.49999994179234186,1.4992494966391412,,,,,,,,,,,,,,,,,,,0.019999999552965164,0.0010000000474974513,-0.7999999860301611,3.0,64.62173489812773,0.0005133598262458342,0.128339950465638,6.381498812896483,4.4095053993673945,0.0,14363952.2,35550.78275650248,-0.816447614313158,1.0,0.021991447770311544,0.1577082102776137,0.021991447770311544,0.2261547690461908,0.030927835051546393,0.4609289617486339,0.6913265306122449,0.0013186813186812918,0.02722880983750553,0.5002192982456141,0.3973626373626374,3.97,8.31,25.9,15.75,19.42
28BB,Betashares 2028 Fixed Term Corporate Bond Active ETF,Unknown,,Spotlight ETP List,AUD,2026-06-08,24.709999084472656,,,,,,,,,,,,,,,,,,,,8.391961129119261,,,,,,,,-0.660381973288189,0,0.25,,,,0.05,,0.04,0.06,,,0.02,5,0.3,,,,,,,,,,,,,,,,,,,,,,,0.084354,2026-06-01,,,,,,0.004636783004867695,0.005415051367126722,0.011203658179344878,0.02560563242689251,24.6434006690979,24.584013252258302,24.50352789878845,0.0027024847856436107,0.0051247056744399,0.00842618199865064,0.00842618199865064,,,0.03975161433684704,0.0347251660538042,0.005026448283042842,38.42743853995491,75.61140119314813,76.07707398726978,0.7811069978718954,0.009613722910146621,24.674974212123427,24.484624262067367,,,0.0014174372176014476,0.009120794445796271,,,,,,,,,,,,,,,,,,,,,,24.75,24.093080520629883,-0.0016161986071654422,0.02560563242689251,72.90500417079154,0.016247794448619644,0.000657539257410555,0.01655151748423986,0.019502355965096467,0.0,317.45,7823.047542405128,0.024427403360447162,0.23076923076923078,,,,,,,,0.9608791208791209,0.9736495388669302,0.5002192982456141,0.18945054945054945,1.89,,,82.59,
